Performer,Show,Show Start,Show End,Status?,CharEnd,Years Since,#LEAD,#SUPPORT,#Shows,Score,Score/Y,lead_notes,support_notes,show_notes
Adrian Pasdar,Heroes,2006.73,2010.3,END.94,2010.4,5.13,0.151,0.152,6.26,6.27,1.2.1,Unnamed: 1342,Unnamed: 1343,"Iron Man, Season 1; Political Animals, Season 1; The Lying Game, Season 1-2; Marvel's Avengers Assemble, Season 1-2
Scott Porter",Friday Night Lights.2,2006.74,2011.2,END.95,2010.5,5.14,3.23,1.50,6.28,9.25.2,1.85,"The Good Guy, 2010; 10 Years, 2012; The To Do List, 2013","Dear John, 2010","The Good Wife, Season 2; X-Men, Season 1; Heart of Dixie, Season 1-4
Daniel Dae Kim",Lost,2004.36,2010.6,END.96,2010.7,5.15,0.153,1.51,5.16,5.25.2,1.05,Unnamed: 1370,"Insurgent, 2015","Hawaii Five-O, Season 1-5
Kiefer Sutherland",24.1,2001.9,2010.8,END.97,2010.9,5.17,1.52,4.16,4.17,6.29,1.2.2,"The Reluctant Fundamentalist, 2013","Marmaduke, 2010; Twelve, 2010; Melancholia, 2011; Pompeii, 2014","The Confession, Season 1; Touch, Season 1-2; 24: Live Another Day, Season 1
Michael Emerson",Lost.1,2004.37,2010.10,END.98,2010.11,5.18,0.154,0.155,4.18,4.19,0.8.2,Unnamed: 1398,Unnamed: 1399,"Person of Interest, Season 1-4
Harold Perrineau",Lost.2,2004.38,2010.12,END.99,2010.13,5.19,1.53,5.20,4.20,6.25.6,1.25.4,"The Best Man Holiday, 2013","Seeking Justice, 2012; Zero Dark Thirty, 2012; Snitch, 2013; Go for Sisters, 2013; Sabotage, 2014","Blade, Season 1;  Sons of Anarchy, Season 5; Wedding Band, Season 1; Constantine, Season 1
Milo Ventimiglia",Heroes.1,2006.75,2010.14,END.100,2010.15,5.21,1.54,6.30,4.21,6.5.2,1.3.1,"The Divide, 2012","That's My Boy, 2012; Kiss of the Damned, 2013; Grown Ups 2, 2013; Killing Season, 2013; Wild Card, 2015; Walter, 2015","Wolverine, Season 1; Mob City, Season 1; Chosen, Season 1-2
Masi Oka",Heroes.2,2006.76,2010.16,END.101,2010.17,5.22,0.156,0.157,4.22,4.23,0.8.3,Unnamed: 1440,Unnamed: 1441,"Hawaii Five-O, Season 2-5
Sam Waterston",Law & Order.2,1990.2,2010.18,END.102,2010.19,5.23,0.158,0.159,3.24,3.25.1,0.6.1,Unnamed: 1454,Unnamed: 1455,"The Newsroom, Season 1-3
Mary Lynn Rajskub",24.2,2001.10,2010.20,END.103,2010.21,5.24,0.160,2.43,3.26,3.5.4,0.7.1,Unnamed: 1468,"Safety Not Guaranteed, 2012; The Kings of Summer, 2013","FCU: Fact Checker's Unit, Season 2; How to be a Gentleman, Season 1; 24: Live Another Day, Season 1
Emilie de Ravin",Lost.3,2004.39,2010.22,END.104,2010.23,5.25.3,2.44,1.55,3.27,5.25.4,1.05.1,"Remember Me, 2010; The Chameleon, 2011","Legend of the Guardians: The Owls of Ga'Hoole 3D, 2010","Once Upon A Time, Season 2-4
Henry Ian Cusick",Lost.4,2004.40,2010.24,END.105,2010.25,5.26,1.56,0.161,3.28,4.24,0.8.4,"The Girl on the Train, 2014",Unnamed: 1497,"Scandal, Season 1; The 100, Season 1-2
Dominic Monaghan",Lost.5,2004.41,2010.26,END.106,2010.27,5.27,1.57,0.162,3.29,4.25.1,0.8.5,"The Day, 2012",Unnamed: 1511,"FlashForward, Season 1; Goodnight Burbank, Season 1; 100 Code, Season 1
Hayden Panettiere",Heroes.3,2006.77,2010.28,END.107,2010.29,5.28,3.30,1.58,3.31,6.25.7,1.25.5,"Alpha and Omega 3D, 2010; Hoodwinked Too: Hood vs. Evil, 2011; Fireflies in the Garden, 2011","Scream 4, 2011","Nashville, Season 1-3
Sendhil Ramamurthy",Heroes.4,2006.78,2010.30,END.108,2010.31,5.29,1.59,0.163,3.32,4.26,0.8.6,"It's A Wonderful Afterlife, 2010",Unnamed: 1539,"Covert Affairs, Season 1-2; Beauty and the Beast, Season 2
Julie Benz",Dexter,2006.79,2013,END.109,2010.32,5.30,1.60,0.164,3.33,4.27,0.8.7,"Answers to Nothing, 2011",Unnamed: 1553,"No Ordinary Family, Season 1; Defiance, Season 1-2; 
Jorge Garcia",Lost.6,2004.42,2010.33,END.110,2010.34,5.31,1.61,0.165,2.45,3.34,0.6.2,"The Wedding Ringer, 2015",Unnamed: 1567,"Alcatraz, Season 1; Hawaii Five-O, Season 5
Naveen Andrews",Lost.7,2004.43,2010.35,END.111,2010.36,5.32,0.166,1.62,2.46,2.25.2,0.45.2,Unnamed: 1580,"Diana, 2013","Sinbad, Season 1; Once Upon A Time In Wonderland, Season 1
Yunjin Kim",Lost.8,2004.44,2010.37,END.112,2010.38,5.33,0.167,0.168,2.47,2.48,0.4.2,Unnamed: 1594,Unnamed: 1595,"Mistresses, Season 1-2
Terry O'Quinn",Lost.9,2004.45,2010.39,END.113,2010.40,5.34,0.169,0.170,2.49,2.50,0.4.3,Unnamed: 1608,Unnamed: 1609,"666 Park Ave, Season 1; Gang Related, Season 1
Greg Grunberg",Heroes.5,2006.80,2010.41,END.114,2010.42,5.35,1.63,1.64,2.51,3.25.2,0.65.2,"Big Ass Spider, 2013","Let's Kill Ward's Wide, 2015","Love Bites, Season 1; The Client List, Season 2; 
Zachary Quinto",Heroes.6,2006.81,2010.43,END.115,2010.44,5.36,2.52,2.53,2.54,4.5.5,0.9.1,"Margin Call, 2011; Star Trek Into Darkness, 2013","What's Your Number, 2011; We'll Never Have Paris, 2015","American Horror Story, Season 2; The Slap, Season 1
Tate Donovan",Damages,2007.26,2012,END.116,2010.45,5.37,0.171,1.65,2.55,2.25.3,0.45.3,Unnamed: 1650,"Argo, 2012","Hostages, Season 1; 24: Live Another Day, Season 1
Josh Holloway",Lost.10,2004.46,2010.46,END.117,2010.47,5.38,3.35,1.66,1.67,4.25.2,0.85.2,"Stay Cool, 2011; Mission:Impossible - Ghost Protocol, 2011; Battle of the Year, 2013","Sabotage, 2014","Intelligence, Season 1
Jack Coleman",Heroes.7,2006.82,2010.48,END.118,2010.49,5.39,0.172,0.173,1.68,1.69,0.2.1,Unnamed: 1678,Unnamed: 1679,"Burn Notice, Season 7; 
Ali Larter",Heroes.8,2006.83,2010.50,END.119,2010.51,5.40,1.70,1.71,1.72,2.25.4,0.45.4,"Lovesick, 2015",Resident Evil: Afterlife 3D,"Legends, Season 1
Ashley Crow",Heroes.9,2006.84,2010.52,END.120,2010.53,5.41,0.174,0.175,1.73,1.74,0.2.2,Unnamed: 1706,Unnamed: 1707,"The Secret Circle, Season 1
Shawn Doyle",Big Love,2006.85,2011.3,End,2010.54,5.42,1.75,0.176,1.76,2.56,0.4.4,"The Returned, 2014",Unnamed: 1721,"Endgame, Season 1; 
S. Epatha Merkerson",Law & Order.3,1990.3,2010.55,END.121,2010.56,5.43,1.77,2.57,0.177,1.5.1,0.3.2,"Peeples, 2013","Mother and Child, 2010; Lincoln, 2012",
Matthew Fox,Lost.11,2004.47,2010.57,END.122,2010.58,5.44,1.78,2.58,0.178,1.5.2,0.3.3,"Emperor, 2013","Alex Cross, 2012; World War Z, 2013",
Evangeline Lilly,Lost.12,2004.48,2010.59,END.123,2010.60,5.45,0.179,4.28,0.180,1.79,0.2.3,Unnamed: 1762,"Real Steel, 2011; The Hobbit: The Desolation of Smaug, 2013; The Hobbit: The Battle of the Five Armies, 2014; Ant-Man, 2015",
James Kyson,Heroes.10,2006.86,2010.61,END.124,2010.62,5.46,0.181,0.182,0.183,0.184,0.185,Unnamed: 1776,Unnamed: 1777,
Cristine Rose,Heroes.11,2006.87,2010.63,END.125,2010.64,5.47,0.186,0.187,0.188,0.189,0.190,Unnamed: 1790,Unnamed: 1791,
Melora Walters,Big Love.1,2006.88,2011.4,End.1,2010.65,5.48,1.80,3.36,0.191,1.75.1,0.35.1,"Underdogs, 2013","Love Ranch, 2010; I Melt with You, 2011; Short Term 12, 2013",
Harry Dean Stanton,Big Love.2,2006.89,2011.5,End.2,2010.66,5.49,0.192,3.37,0.193,0.75.3,0.15.1,Unnamed: 1818,"Rango, 2011; The Avengers, 2012; This Must Be The Place, 2012",
Ginnifer Goodwin,Big Love.3,2006.90,2011.6,End.3,2011.7,4.29,1.81,1.82,5.50,6.25.8,1.5625,"Something Borrowed, 2011","Take me Home tonight, 2011","Electric City, Season 1; Once Upon A Time, Season 1-4
Chlo Sevigny",Big Love.4,2006.91,2011.8,End.4,2011.9,4.30,1.83,2.59,4.31,5.5.4,1.375,"The Wait, 2014","Mr. Nice, 2011; Little Accidents, 2015","Hit & Miss, Season 1; Portlandia, Season 3; Those Who Kill, Season 1; Bloodline, Season 1
Matt Ross",Big Love.5,2006.92,2011.10,End.5,2011.11,4.32,0.194,0.195,4.33,4.34,1.84,Unnamed: 1860,Unnamed: 1861,"Magic City, Season 1-2; Silicon Valley, Season 1-2
Connie Britton",Friday Night Lights.3,2006.93,2011.12,END.126,2011.13,4.35,3.38,1.85.1,4.36,7.25.1,1.8125,"The Fitzgerald Family Christmas, 2012; Angels Sing, 2013; This Is Where I Leave You, 2014","The To Do List, 2013","American Horror Story, Season 1; Nashville, Season 1-3
Jeanne Tripplehorn",Big Love.6,2006.94,2011.14,End.6,2011.15,4.37,2.60,0.196,3.39,5.51,1.25.6,"Morning, 2013; A Perfect Man, 2013",Unnamed: 1889,"Electric City, Season 1; Criminal Minds Season 8-9
Aimee Teegarden",Friday Night Lights.4,2006.95,2011.16,END.127,2011.17,4.38,2.61,2.62,3.40,5.5.5,1.375.1,"Prom, 2011; Beneath the Darkness, 2012","Scream 4, 2011; Love and Honor, 2013","Aim High, Season 1-2; Star-Crossed, Season 1
Louanne Stephens",Friday Night Lights.5,2006.96,2011.18,END.128,2011.19,4.39,0.197,0.198,3.41,3.42,0.75.4,Unnamed: 1916,Unnamed: 1917,"Longmire, Season 1-3
Lisa Edelstein",House,2004.49,2012.1,END.129,2011.20,4.40,0.199,0.200,2.63,2.64,0.5.4,Unnamed: 1930,Unnamed: 1931,"The Legend of Korra, Season 2; Girlfriend's Guide to Divorce, Season 1
Joel McKinnon Miller",Big Love.7,2006.97,2011.21,End.7,2011.22,4.41,0.201,2.65,2.66,2.5.3,0.625,Unnamed: 1944,"Little Birds, 2012; Rushlights, 2013","Brooklyn Nine-Nine, Season 1-2
Jesse Plemons",Friday Night Lights.6,2006.98,2011.23,END.130,2011.24,4.42,0.202,3.43,2.67,2.75.1,0.6875,Unnamed: 1958,"Paul, 2011; Meeting Spencer, 2011; Battleship, 2012","Bent, Season 1; Breaking Bad, Season 5
Adrianne Palicki",Friday Night Lights.7,2006.99,2011.25,END.131,2011.26,4.43,3.44,3.45,2.68,5.75.5,1.4375,"Red Dawn, 2012; GI Joe: Retaliation, 2012; Dr. Cabbie, 2014","Elektra Luxx, 2011; Coffee Town, 2013; John Wick, 2014","About a Boy, Season 1;  Agents of S.H.E.I.L.D., Season 2
Bill Paxton",Big Love.8,2006.100,2011.27,End.8,2011.28,4.44,3.46,5.52,1.86,5.25.5,1.3125,"Shanghai Calling, 2012; The Colony, 2013; Red Wing, 2013","Haywire, 2012; 2 Guns, 2013; Million Dollar Arm, 2014; Edge of Tomorrow, 2014; Nightcrawler, 2014","Hatfields & McCoys, Season 1;
Kyle Chandler",Friday Night Lights.8,2006.101,2011.29,END.132,2011.30,4.45,1.87,6.31,1.88,3.5.5,0.875.1,"Super 8, 2011","Argo, 2012; Zero Dark Thirty, 2012; Broken City, 2013; The Spectacular Now, 2013; Morning, 2013; The Wolf of Wall Street, 2013","Bloodline, Season 1
Zach Gilford",Friday Night Lights.9,2006.102,2011.31,END.133,2011.32,4.46,3.47,3.48,1.89,4.75.1,1.1875,"Answers to Nothing, 2011; In our Nature, 2013; Crazy Kind of Love, 2013","The Last Stand, 2013; Devil's Due, 2014; The Purge: Anarchy, 2014","Off The Map, Season 1
Derek Phillips",Friday Night Lights.10,2006.103,2011.33,END.134,2011.34,4.47,0.203,1.90,1.91,1.25.7,0.3125,Unnamed: 2028,"42, 2013","The Event, Season 1
Stacey Oristano",Friday Night Lights.11,2006.104,2011.35,END.135,2011.36,4.48,0.204,0.205,1.92,1.93,0.25.8,Unnamed: 2042,Unnamed: 2043,"Bunheads, Season 1
Douglas Smith",Big Love.9,2006.105,2011.37,End.9,2011.38,4.49,2.69,3.49,0.206,2.75.2,0.6875.1,"Percy Jackson: Sea of Monsters, 2013; Treading Water, 2015","Antiviral, 2013; Stage Fright, 2014; Ouija, 2014",
Grace Zabriskie,Big Love.10,2006.106,2011.39,End.10,2011.40,4.50,0.207,2.70,0.208,0.5.5,0.125.3,Unnamed: 2070,"Wring Cops, 2013; The Judge, 2014",
Keegan Holst,Big Love.11,2006.107,2011.41,End.11,2011.42,4.51,0.209,0.210,0.211,0.212,0.213,Unnamed: 2084,Unnamed: 2085,
Garrett Gray,Big Love.12,2006.108,2011.43,End.12,2011.44,4.52,0.214,0.215,0.216,0.217,0.218,Unnamed: 2098,Unnamed: 2099,
Amanda Seyfried,Big Love.13,2006.109,2011.45,End.13,2011.46,4.53,8.19,3.50,0.219,8.75,2.1875,"Red Riding Hood, 2011; In Time, 2011; Gine, 2012; Les Miserables, 2012; The Big Wedding, 2013; Epic, 2013; Lovelace, 2013; A Million Ways To Die In The West, 2014","The End of Love, 2013; Veronica Mars, 2014; While We're Young, 2015",
Mary Kay Place,Big Love.14,2006.110,2011.47,End.14,2011.48,4.54,0.220,4.55,0.221,1.94,0.25.9,Unnamed: 2126,"Smashed, 2012; Leonie, 2013; Bad Milo, 2013; Miss Meadows, 2014",
Daveigh Chase,Big Love.15,2006.111,2011.49,End.15,2011.50,4.56,0.222,0.223,0.224,0.225,0.226,Unnamed: 2140,Unnamed: 2141,
Bruce Dern,Big Love.16,2006.112,2011.51,End.16,2011.52,4.57,1.95,5.53,0.227,2.25.5,0.5625.1,"Nebraska, 2013","Inside Out, 2011; The Hole 3D, 2012; Django Unchained, 2012; Kokuriko-zaka Kara, 2013; Cut Bank, 2015",
Brad Leland,Friday Night Lights.12,2006.113,2011.53,END.136,2011.54,4.58,0.228,0.229,0.230,0.231,0.232,Unnamed: 2168,Unnamed: 2169,
Taylor Kitsch,Friday Night Lights.13,2006.114,2011.55,END.137,2011.56,4.59,5.54,1.96,0.233,5.25.6,1.3125.1,"The Bang Bang Club, 2011; John Carter, 2012; Battleship, 2012; Savages, 2012; The Grand Seduction, 2014","Lone Survivor, 2014",
Blue Deckert,Friday Night Lights.14,2006.115,2011.57,END.138,2011.58,4.60,0.234,0.235,0.236,0.237,0.238,Unnamed: 2196,Unnamed: 2197,
Timothy F. Crowley,Friday Night Lights.15,2006.116,2011.59,END.139,2011.60,4.61,0.239,0.240,0.241,0.242,0.243,Unnamed: 2210,Unnamed: 2211,
Siobhan Finneran,Downton Abbey,2010.67,PRESENT,LEFT,2012.2,3.51,0.244,0.245,8.20,8.21,2.666666667,Unnamed: 2224,Unnamed: 2225,"The Syndicate, Season 2; Happy Valley, Season 1; Benidorm, Season 1-6
Jennifer Morrison",House.1,2004.50,2012.3,END.140,2012.4,3.52,2.71,1.97,5.55,7.25.2,2.416666667,"Knife Fight, 2013; Some Girl(s), 2013","Warrior, 2011","How I Met Your Mother, Season 6; Once Upon A Time, Season 1-4
Robert Sean Leonard",House.2,2004.51,2012.5,END.141,2012.6,3.53,0.246,0.247,3.54,3.55,1.98,Unnamed: 2252,Unnamed: 2253,"Falling Skies, Season 3
Jesse Spencer",House.3,2004.52,2012.7,END.142,2012.8,3.56,1.99,0.248,3.57,4.62,1.333333333,"The Girl is in Trouble, 2015",Unnamed: 2267,"Chicago Fire, Season 1-3
Omar Epps",House.4,2004.53,2012.9,END.143,2012.10,3.58,0.249,0.250,2.72,2.73,0.666666667.1,Unnamed: 2280,Unnamed: 2281,"Resurrection, Season 1-2
Eric Dane",Grey's Anatomy,2005.34,PRESENT.1,LEFT.1,2012.11,3.59,0.251,0.252,1.100,1.101,0.333333333.4,Unnamed: 2294,Unnamed: 2295,"The Last Ship, Season 1
David Harewood",Homeland,2011.61,PRESENT.2,LEFT.2,2012.12,3.60,0.253,0.254,1.102,1.103,0.333333333.5,Unnamed: 2308,Unnamed: 2309,"Selfie, Season 1
Hugh Laurie",House.5,2004.54,2012.13,END.144,2012.14,3.61,2.74,0.255,0.256,2.75.3,0.666666667.2,"The Oranges, 2012; Mr. Pip, 2014",Unnamed: 2323,
Bobbin Bergstrom,House.6,2004.55,2012.15,END.145,2012.16,3.62,0.257,0.258,0.259,0.260,0.261,Unnamed: 2336,Unnamed: 2337,
Peter Jacobson,House.7,2004.56,2012.17,END.146,2012.18,3.63,0.262,1.104,0.263,0.25.10,0.083333333,Unnamed: 2350,"White House Down, 2013",
Glenn Close,Damages.1,2007.27,2012.19,END.147,2012.20,3.64,0.264,3.65,0.265,0.75.5,0.25.11,Unnamed: 2364,"Guardians of the Galaxy, 2014; Low Down, 2014; 5 to 7, 2015",
Rose Byrne,Damages.2,2007.28,2012.21,END.148,2012.22,3.66,5.56,3.67,0.266,5.75.6,1.916666667,"I Give It A Year, 2013; Insidious Chapter 2, 2013; Neighbors, 2014; This is where I leave You, 2014; Adult Beginners, 2015","The Place Beyone the Pines, 2013; The Internship, 2013; Annie, 2014",
Zachary Booth,Damages.3,2007.29,2012.23,END.149,2012.24,3.68,1.105,3.69,0.267,1.75.2,0.583333333.1,"Keep the lights on, 2012","Dark Horse, 2012; Allegiance, 2012; Last Weekend, 2014",
Christina Robinson,Dexter.1,2006.117,2013.1,END.150,2012.25,3.70,0.268,0.269,0.270,0.271,0.272,Unnamed: 2406,Unnamed: 2407,
Dan Stevens,Downton Abbey.1,2010.68,PRESENT.3,LEFT.3,2012.26,3.71,3.72,4.63,0.273,4.64,1.333333333.1,"Summer in February, 2014; The Guest, 2014; Night at the Museum: Secret of the Tomb, 2014","Vamps, 2012; The Fifth Estate, 2013; A Walk Among the Tombstones, 2014; The Cobbler, 2015",
Bob Odenkirk,Breaking Bad,2008.14,2013.2,END.151,2013.3,2.76,1.106,3.73,3.74,4.75.2,2.375,"Dealin with Idiots, 2013","The Spectacular Now, 2013; Ass Backwards, 2013; Nebraska, 2013","Fargo, Season 1; The Birthday Boys, Season 1; Better Call Saul, Season 1
Michelle Fairley",Game of Thrones,2011.62,PRESENT.4,LEFT.4,2013.4,2.77,0.274,2.78,3.75.1,3.5.6,1.75.3,Unnamed: 2448,"Ironclad: Battle for Blood, 2014; Jack et la mecanique du coeur, 2014","Suits, Season 3; 24: Live Another Day, Season 1; Resurrection, Season 2
David Zayas",Dexter.2,2006.118,2013.5,END.152,2013.6,2.79,0.275.1,2.80,2.81,2.5.4,1.25.8,Unnamed: 2462,"Annie, 2014; Ride, 2015","Saint George, Season 1; Gotham, Season 1
Dean Norris",Breaking Bad.1,2008.15,2013.7,END.153,2013.8,2.82,1.107,2.83,2.84,3.5.7,1.75.4,"Small Time, 2014","The Counselor, 2013; Men, Women and Children, 2014","Under The Dome, Season 1-2
Betsy Brandt",Breaking Bad.2,2008.16,2013.9,END.154,2013.10,2.85,0.276,0.277,2.86,2.87,1.108,Unnamed: 2490,Unnamed: 2491,"The Michael J. Fox Show, Season 1; Masters of Sex, Season 2;
Morena Baccarin",Homeland.1,2011.63,PRESENT.5,LEFT.5,2013.11,2.88,1.109,0.278,2.89,3.76,1.5.3,"Back in the Day, 2014",Unnamed: 2505,"The Red Tent, Season 1; Gotham, Season 1
Diego Klattenhoff",Homeland.2,2011.64,PRESENT.6,LEFT.6,2013.12,2.90,1.110,0.279,2.91,3.77,1.5.4,"Pacific Rim, 2013",Unnamed: 2519,"The Blacklist, Season 1-2
Marg Helgenberger",CSI: Crime Scene Investigations,2000.1,PRESENT.7,LEFT.7,2013.13,2.92,0.280,0.281,1.111,1.112,0.5.6,Unnamed: 2532,Unnamed: 2533,"Intelligence, Season 1
James Remar",Dexter.3,2006.119,2013.14,END.155,2013.15,2.93,1.113,2.94,1.114,2.5.5,1.25.9,"Persecuted, 2014","Horns, 2014; Lap Dance, 2014","State of Affairs, Season 1;
Anna Gunn",Breaking Bad.3,2008.17,2013.16,END.156,2013.17,2.95,0.282,0.283,1.115,1.116,0.5.7,Unnamed: 2560,Unnamed: 2561,"Gracepoint, Season 1
Aaron Paul",Breaking Bad.4,2008.18,2013.18,END.157,2013.19,2.96,4.65,1.117,1.118,5.25.7,2.625,"Need for Speed, 2014; Decoding Annie Parker, 2014; Hellion, 2014; A Long Way Down, 2914",Exodus: Gods and Kings,"Bojack Horseman, Season 1
Jack Huston",Boardwalk Empire,2010.69,2014.8,END.158,2013.20,2.97,1.119,3.78,1.120,2.75.4,1.375.2,"Two Jacks, 2013","Kill your darlings, 2013; American Hustle, 2013; The Longest Ride, 2015","The Great Fire, Season 1
Michael C. Hall",Dexter.4,2006.120,2013.21,END.159,2013.22,2.98,1.121,0.284,0.285,1.122,0.5.8,"Cold in July, 2014","Kill Your Darlings, 2013.1",
Jennifer Carpenter,Dexter.5,2006.121,2013.23,END.160,2013.24,2.99,0.286,1.123,0.287,0.25.12,0.125.4,Unnamed: 2616,"The Devil's Hand, 2014",
C.S. Lee,Dexter.6,2006.122,2013.25,END.161,2013.26,2.100,0.288,0.289,0.290,0.291,0.292,Unnamed: 2630,Unnamed: 2631,
Lauren Vlez,Dexter.7,2006.123,2013.27,END.162,2013.28,2.101,0.293,0.294,0.295,0.296,0.297,Unnamed: 2644,Unnamed: 2645,
Desmond Harrington,Dexter.8,2006.124,2013.29,END.163,2013.30,2.102,0.298,0.299,0.300,0.301,0.302,Unnamed: 2658,Unnamed: 2659,
Bryan Cranston,Breaking Bad.5,2008.19,2013.31,END.164,2013.32,2.103,2.104,1.124,0.303,2.25.6,1.125,"Cold Comes the Night, 2014; Trumbo, 2015","Godzilla, 2014",
RJ Mitte,Breaking Bad.6,2008.20,2013.33,END.165,2013.34,2.105,0.304,0.305,0.306,0.307,0.308,Unnamed: 2686,Unnamed: 2687,
Steven Michael Quezada,Breaking Bad.7,2008.21,2013.35,END.166,2013.36,2.106,0.309,0.310,0.311,0.312,0.313,Unnamed: 2700,Unnamed: 2701,
Michael Stuhlbarg,Boardwalk Empire.1,2010.70,2014.9,END.167,2013.37,2.107,0.314,2.108,0.315,0.5.9,0.25.13,Unnamed: 2714,"Blue Jasmine, 2013; Cut Bank, 2015",
Anthony Laciura,Boardwalk Empire.2,2010.71,2014.10,END.168,2013.38,2.109,0.316,0.317,0.318,0.319,0.320,Unnamed: 2728,Unnamed: 2729,
Brady Noon,Boardwalk Empire.3,2010.72,2014.11,END.169,2013.39,2.110,0.321,0.322,0.323,0.324,0.325,Unnamed: 2742,Unnamed: 2743,
Connor Noon,Boardwalk Empire.4,2010.73,2014.12,END.170,2013.40,2.111,0.326,0.327,0.328,0.329,0.330,Unnamed: 2756,Unnamed: 2757,
Lucy Gallina,Boardwalk Empire.5,2010.74,2014.13,END.171,2013.41,2.112,0.331,0.332,0.333,0.334,0.335,Unnamed: 2770,Unnamed: 2771,
Josie Gallina,Boardwalk Empire.6,2010.75,2014.14,END.172,2013.42,2.113,0.336,0.337,0.338,0.339,0.340,Unnamed: 2784,Unnamed: 2785,
Declan McTigue,Boardwalk Empire.7,2010.76,2014.15,END.173,2013.43,2.114,0.341,0.342,0.343,0.344,0.345,Unnamed: 2798,Unnamed: 2799,
Rory McTigue,Boardwalk Empire.8,2010.77,2014.16,END.174,2013.44,2.115,0.346,0.347,0.348,0.349,0.350,Unnamed: 2812,Unnamed: 2813,
Jackson Pace,Homeland.3,2011.65,PRESENT.8,LEFT.8,2013.45,2.116,0.351,0.352,0.353,0.354,0.355,Unnamed: 2826,Unnamed: 2827,
Morgan Saylor,Homeland.4,2011.66,PRESENT.9,LEFT.9,2013.46,2.117,0.356,2.118,0.357,0.5.10,0.25.14,Unnamed: 2840,"Jamie Marks is Dead, 2014; McFarland, USA, 2015",
Deborah Ann Woll,True Blood,2008.22,2014.17,END.175,2014.18,1.125.1,0.358,0.359,1.126,1.127,1.128,Unnamed: 2854,Unnamed: 2855,"Daredevil, Season 1
Shea Whigham",Boardwalk Empire.9,2010.78,2014.19,END.176,2014.20,1.129,0.360,3.79,1.130,1.75.5,1.75.6,Unnamed: 2868,"Non-Stop, 2014; Radio Free Albemuth, 2014; The Life and Mind of Mark DeFriest, 2015","Agent Carter, Season 1
Paul Sparks",Boardwalk Empire.10,2010.79,2014.21,END.177,2014.22,1.131,0.361,1.132,1.133,1.25.10,1.25.11,Unnamed: 2882,"Trust Me, 2014","House of Cards, Season 3
Rory McCann",Game of Thrones.1,2011.67,PRESENT.10,LEFT.10,2014.23,1.134,0.362,0.363,1.135,1.136,1.137,Unnamed: 2896,Unnamed: 2897,"Banished, Season 1
Tory Kittles",True Detective -10,2014.24,2014.25,END.178,2014.26,1.138,0.364,0.365,1.139,1.140,1.141,Unnamed: 2910,Unnamed: 2911,"Intruders, Season 1
J.D. Evermore",True Detective -29,2014.27,2014.28,END.179,2014.29,1.142,0.366,0.367,1.143,1.144,1.145,Unnamed: 2924,Unnamed: 2925,"Rectify, Season 2
Paul Guilfoyle",CSI: Crime Scene Investigations.1,2000.2,PRESENT.11,LEFT.11,2014.30,1.146,0.368,0.369,0.370,0.371,0.372,Unnamed: 2938,Unnamed: 2939,
Anna Paquin,True Blood.1,2008.23,2014.31,END.180,2014.32,1.147,0.373,1.148,0.374,0.25.15,0.25.16,Unnamed: 2952,X-Men: Days of Future Past,
Stephen Moyer,True Blood.2,2008.24,2014.33,END.181,2014.34,1.149,0.375.1,1.150,0.376,0.25.17,0.25.18,Unnamed: 2966,"Devil's Knot, 2014",
Sam Trammell,True Blood.3,2008.25,2014.35,END.182,2014.36,1.151,1.152,1.153,0.377,1.25.12,1.25.13,"The Privileged, 2014","The Fault in our Stars, 2014",
Ryan Kwanten,True Blood.4,2008.26,2014.37,END.183,2014.38,1.154,4.66,0.378,0.379,4.67,4.68,"Knights of Badassdom, 2014; The Right Kind of Wrong, 2014; Reach Me, 2014; Kidnapping Mr. Heineken, 2015",Unnamed: 2995,
Rutina Wesley,True Blood.5,2008.27,2014.39,END.184,2014.40,1.155,0.380,2.119,0.381,0.5.11,0.5.12,Unnamed: 3008,"13 Sins, 2014; Last Weekend, 2014",
Chris Bauer,True Blood.6,2008.28,2014.41,END.185,2014.42,1.156,0.382,0.383,0.384,0.385,0.386,Unnamed: 3022,Unnamed: 3023,
Nelsan Ellis,True Blood.7,2008.29,2014.43,END.186,2014.44,1.157,0.387,1.158,0.388,0.25.19,0.25.20,Unnamed: 3036,"Get on Up, 2014",
Carrie Preston,True Blood.8,2008.30,2014.45,END.187,2014.46,1.159,0.389,2.120,0.390,0.5.13,0.5.14,Unnamed: 3050,"Beneath the Harvest Sky, 2014; 5 Flights up, 2015",
Alexander Skarsgrd,True Blood.9,2008.31,2014.47,END.188,2014.48,1.160,0.391,0.392,0.393,0.394,0.395,Unnamed: 3064,Unnamed: 3065,
Kristin Bauer van Straten,True Blood.10,2008.32,2014.49,END.189,2014.50,1.161,0.396,0.397,0.398,0.399,0.400,Unnamed: 3078,Unnamed: 3079,
Todd Lowe,True Blood.11,2008.33,2014.51,END.190,2014.52,1.162,0.401,1.163,0.402,0.25.21,0.25.22,Unnamed: 3092,"50 to 1, 2014",
Jim Parrack,True Blood.12,2008.34,2014.53,END.191,2014.54,1.164,0.403,2.121,0.404,0.5.15,0.5.16,Unnamed: 3106,"A Night in Old Mexico, 2014; Child of God, 2014",
Lauren Bowles,True Blood.13,2008.35,2014.55,END.192,2014.56,1.165,0.405,0.406,0.407,0.408,0.409,Unnamed: 3120,Unnamed: 3121,
