ï»¿current_name,states,original_name,current_agency,action,date,year,pres_or_congress,acres_affected
Death Valley National Park,"California, Nevada",Death Valley National Monument,NPS.176,Established.68,2/11/33,1933.4,H. Hoover.17,"848,581.36
Death Valley National Park","California, Nevada.1",Death Valley National Monument.1,NPS.177,Enlarged.66,3/26/37,1937.5,F. D. Roosevelt.22,"305,920
Death Valley National Park","California, Nevada.2",Death Valley National Monument.2,NPS.178,Enlarged.67,1/17/52,1952.2,H. Truman.8,40
Death Valley National Park,"California, Nevada.3",Death Valley National Monument.3,NPS.179,Redesignated NP.7,10/31/94,1994,103d Congress,
Saguaro National Park,Arizona.37,Saguaro National Monument,NPS.180,Established.69,3/1/33,1933.5,H. Hoover.18,"53,510.08
Saguaro National Park",Arizona.38,Saguaro National Monument.1,NPS.181,Enlarged.68,11/15/61,1961.2,J. Kennedy.5,"15,360
Saguaro National Park",Arizona.39,Saguaro National Monument.2,NPS.182,Redesignated NP.8,10/14/94,1994.1,103d Congress.1,
Black Canyon of the Gunnison National Park,Colorado.14,Black Canyon of the Gunnison National Monument,NPS.183,Established.70,3/2/33,1933.6,H. Hoover.19,"10,287.95
Black Canyon of the Gunnison National Park",Colorado.15,Black Canyon of the Gunnison National Monument.1,NPS.184,Enlarged.69,5/16/38,1938.6,F. D. Roosevelt.23,100
Black Canyon of the Gunnison National Park,Colorado.16,Black Canyon of the Gunnison National Monument.2,NPS.185,Enlarged.70,10/28/39,1939.2,F. D. Roosevelt.24,"2,760
Black Canyon of the Gunnison National Park",Colorado.17,Black Canyon of the Gunnison National Monument.3,NPS.186,Diminished.17,4/8/60,1960.2,D. Eisenhower.12,470
Black Canyon of the Gunnison National Park,Colorado.18,Black Canyon of the Gunnison National Monument.4,NPS.187,Redesignated NP.9,1/6/99,1999,103d Congress.2,
Cedar Breaks National Monument,Utah.19,Unnamed: 1738,NPS.188,Established.71,8/22/33,1933.7,F. D. Roosevelt.25,"5,701.39
Dry Tortugas National Park",Florida.5,Fort Jefferson National Monument,NPS.189,Established.72,1/4/35,1935.2,F. D. Roosevelt.26,"47,125
Dry Tortugas National Park",Florida.6,Fort Jefferson National Monument.1,NPS.190,Redesignated Dry Tortugas NP,10/26/92,1992.1,102d Congress.1,
Joshua Tree National Park,California.23,Joshua Tree National Monument,NPS.191,Established.73,8/10/36,1936.1,F. D. Roosevelt.27,"825,340
Joshua Tree National Park",California.24,Joshua Tree National Monument.1,NPS.192,Redesignated NP.10,10/31/94.1,1994.2,103d Congress.3,
Zion National Park.1,Utah.20,"Zion ""II""",NPS.193,Established.74,1/22/37,1937.6,F. D. Roosevelt.28,"49,150
Zion National Park",Utah.21,"Zion ""II"".1",NPS.194,Redesignated NP.11,7/11/56,1956.5,84th Congress.4,
Organ Pipe Cactus National Monument,Arizona.40,Unnamed: 1794,NPS.195,Established.75,4/13/37,1937.7,F. D. Roosevelt.29,"330,690
Capitol Reef National Park",Utah.22,Capitol Reef National Monument,NPS.196,Established.76,8/2/37,1937.8,F. D. Roosevelt.30,"37,060
Capitol Reef National Park",Utah.23,Capitol Reef National Monument.1,NPS.197,Enlarged.71,7/2/58,1958.3,D. Eisenhower.13,"3,040
Capitol Reef National Park",Utah.24,Capitol Reef National Monument.2,NPS.198,Enlarged.72,1/20/69.2,1969.2,L. Johnson.3,"215,056
Capitol Reef National Park",Utah.25,Capitol Reef National Monument.3,NPS.199,Redesignated NP.12,12/18/71,1971.1,92d Congress.2,
Channel Islands National Park,California.25,Channel Islands National Monument,NPS.200,Established.77,4/26/38,1938.7,F. D. Roosevelt.31,"1,119.98
Channel Islands National Park",California.26,Channel Islands National Monument.1,NPS.201,Enlarged.73,2/9/49,1949.1,H. Truman.9,"25,918.02
Channel Islands National Park",California.27,Channel Islands National Monument.2,NPS.202,Redesignated NP.13,5/31/80,1980.4,96th Congress.5,
Fort Laramie National Historic Site,Wyoming.3,Fort Laramie National Monument,NPS.203,Established.78,7/16/38,1938.8,F. D. Roosevelt.32,214.41
Fort Laramie National Historic Site,Wyoming.4,Fort Laramie National Monument.1,NPS.204,Redesignated NHS,4/29/60,1960.3,86th Congress,
Gulf Islands National Seashore,Florida.7,Santa Rosa Island,NPS.205,Established.79,5/17/39,1939.3,F. D. Roosevelt.33,"9,500
Gulf Islands National Seashore",Florida.8,Santa Rosa Island.1,NPS.206,Diminished.18,8/13/45,1945,H. Truman.10,"4,700
Gulf Islands National Seashore",Florida.9,Santa Rosa Island.2,NPS.207,Incorporated into Gulf Islands NS,7/30/46,1946.1,79th Congress,
Tuzigoot National Monument,Arizona.41,Unnamed: 1898,NPS.208,Established.80,7/25/39,1939.4,F. D. Roosevelt.34,42.67
Tuzigoot National Monument,Arizona.42,Unnamed: 1906,NPS.209,Enlarged.74,11/10/78.6,1978.8,95th Congress.6,791
Grand Teton National Park,Wyoming.5,Jackson Hole National Monument,NPS.210,Established.81,3/15/43,1943,F. D. Roosevelt.35,"210,950
Grand Teton National Park",Wyoming.6,Jackson Hole National Monument.1,NPS.211,Redesignated Grand Teton NP,9/14/50,1950.2,81st Congress.3,
Effigy Mounds National Monument,Iowa,Unnamed: 1930,NPS.212,Established.82,10/25/49,1949.2,H. Truman.11,"1,000
Thomas Edison National Historical Park",New Jersey,Edison Laboratory,NPS.213,Established.83,7/14/56,1956.6,D. Eisenhower.14,1.51
Thomas Edison National Historical Park,New Jersey.1,Edison Laboratory.1,NPS.214,Redesignated NHS.1,9/5/62,1962.4,87th Congress,
Thomas Edison National Historical Park,New Jersey.2,Edison Laboratory.2,NPS.215,Redesignated Thomas Edison NHP,3/30/09,2009,111th Congress,
Chesapeake and Ohio Canal National Historical Park,Maryland,Chesapeake and Ohio Canal National Monument,NPS.216,Established.84,1/18/61,1961.3,D. Eisenhower.15,"5,263.94
Chesapeake and Ohio Canal National Historical Park",Maryland.1,Chesapeake and Ohio Canal National Monument.1,NPS.217,Redesignated NHP.2,1/8/71,1971.2,91st Congress,
Russell Cave National Monument,Alabama,Unnamed: 1978,NPS.218,Established.85,5/11/61,1961.4,J. Kennedy.6,310.45
Buck Island Reef National Monument,Virgin Islands,Unnamed: 1986,NPS.219,Established.86,12/28/61,1961.5,J. Kennedy.7,850
Buck Island Reef National Monument,Virgin Islands.1,Unnamed: 1994,NPS.220,Enlarged.75,2/1/75,1975.1,G. Ford.1,30
Buck Island Reef National Monument,Virgin Islands.2,Unnamed: 2002,NPS.221,Amending Description,3/28/75,1975.2,G. Ford.2,
Buck Island Reef National Monument,Virgin Islands.3,Unnamed: 2010,NPS.222,Enlarged.76,1/17/01,2001,W. Clinton.2,"17,255
Grand Canyon National Park",Arizona.43,Marble Canyon National Monument,NPS.223,Established.87,1/20/69.3,1969.3,L. Johnson.4,"32,546.69
Grand Canyon National Park",Arizona.44,Marble Canyon National Monument.1,NPS.224,Incorporated into Grand Canyon NP,1/3/75.1,1975.3,93d Congress.1,
Part of Tongass National Forest.1,Alaska.19,Admiralty Island National Monument,USFS.4,Established.88,12/1/78.2,1978.9,J. Carter.2,"1,100,000
Aniakchak National Monument & Preserve",Alaska.20,Aniakchak National Monument,NPS.225,Established.89,12/1/78.3,1978.10,J. Carter.3,"350,000
Aniakchak National Monument & Preserve",Alaska.21,Aniakchak National Monument.1,NPS.226,Partially Redesignated Preserve,12/2/80.2,1980.5,96th Congress.6,
Becharof National Wildlife Refuge,Alaska.22,Unnamed: 2058,FWS,Established.90,12/1/78.4,1978.11,J. Carter.4,"1,200,000
Bering Land Bridge National Preserve",Alaska.23,Bering Land Bridge National Monument,NPS.227,Established.91,12/1/78.5,1978.12,J. Carter.5,"2,590,000
Bering Land Bridge National Preserve",Alaska.24,Bering Land Bridge National Monument.1,NPS.228,Redesignated National Preserve,12/2/80.3,1980.6,96th Congress.7,
Cape Krusenstern National Monument,Alaska.25,Unnamed: 2082,NPS.229,Established.92,12/1/78.6,1978.13,J. Carter.6,"560,000
Denali National Park",Alaska.26,Denali National Park and Preserve,NPS.230,Established.93,12/1/78.7,1978.14,J. Carter.7,"3,890,000
Denali National Park",Alaska.27,Denali National Park and Preserve.1,NPS.231,Redesignated NP.14,12/2/80.4,1980.7,96th Congress.8,
Gates of the Arctic National Park and Preserve,Alaska.28,Gates of the Arctic National Monument,NPS.232,Established.94,12/1/78.8,1978.15,J. Carter.8,"8,220,000
Gates of the Arctic National Park and Preserve",Alaska.29,Gates of the Arctic National Monument.1,NPS.233,Redesignated NP&P.2,12/2/80.5,1980.8,96th Congress.9,
Kenai Fjords National Park,Alaska.30,Kenai Fjords National Monument,NPS.234,Established.95,12/1/78.9,1978.16,J. Carter.9,"570,000
Kenai Fjords National Park",Alaska.31,Kenai Fjords National Monument.1,NPS.235,Redesignated NP.15,12/2/80.6,1980.9,96th Congress.10,
Kobuk Valley National Park,Alaska.32,Kobuk Valley National Monument,NPS.236,Established.96,12/1/78.10,1978.17,J. Carter.10,"1,710,000
Kobuk Valley National Park",Alaska.33,Kobuk Valley National Monument.1,NPS.237,Redesignated NP.16,12/2/80.7,1980.10,96th Congress.11,
Lake Clark National Park and Preserve,Alaska.34,Lake Clark National Monument,NPS.238,Established.97,12/1/78.11,1978.18,J. Carter.11,"2,500,000
Lake Clark National Park and Preserve",Alaska.35,Lake Clark National Monument.1,NPS.239,Redesignated National Park & Preserve,12/2/80.8,1980.11,96th Congress.12,
Part of Tongass National Forest.2,Alaska.36,Misty Fjords National Monument,USFS.5,Established.98,12/1/78.12,1978.19,J. Carter.12,"2,285,000
Part of Tongass National Forest",Alaska.37,Misty Fjords National Monument.1,USFS.6,Redesignated within Tongass National Forest,12/2/80.9,1980.12,Unnamed: 2183,
Noatak National Preserve,Alaska.38,Noatak National Monument,NPS.240,Established.99,12/1/78.13,1978.20,J. Carter.13,"5,880,000
Noatak National Preserve",Alaska.39,Noatak National Monument.1,NPS.241,Redesignated Preserve,12/2/80.10,1980.13,96th Congress.13,
Wrangall-St. Elias National Park and Preserve,Alaska.40,Wrangall-St. Elias National Monument,NPS.242,Established.100,12/1/78.14,1978.21,J. Carter.14,"10,950,000
Wrangall-St. Elias National Park and Preserve",Alaska.41,Wrangall-St. Elias National Monument.1,NPS.243,Redesignated NP&P.3,12/2/80.11,1980.14,96th Congress.14,
Yukon-Charley Rivers National Preserve,Alaska.42,Yukon-Charley Rivers National Monument,NPS.244,Established.101,12/1/78.15,1978.22,J. Carter.15,"1,720,000
Yukon-Charley Rivers National Preserve",Alaska.43,Yukon-Charley Rivers National Monument.1,NPS.245,Redesignated Preserve.1,12/2/80.12,1980.15,96th Congress.15,
Yukon Flats National Wildlife Refuge,Alaska.44,Yukon Flats National Monument,FWS.1,Established.102,12/1/78.16,1978.23,J. Carter.16,"10,600,000
Yukon Flats National Wildlife Refuge",Alaska.45,Yukon Flats National Monument.1,FWS.2,Redesignated National Wildlife Refuge,12/2/80.13,1980.16,96th Congress.16,
Grand Staircase-Escalante National Monument,Utah.26,Unnamed: 2250,BLM.6,Established.103,9/18/96,1996,W. Clinton.3,"1,700,000
Agua Fria National Monument",Arizona.45,Unnamed: 2258,BLM.7,Established.104,1/11/00.1,2000.3,W. Clinton.4,"71,100
California Coastal National Monument",California.28,Unnamed: 2266,BLM.8,Established (BLM),1/11/00.2,2000.4,W. Clinton.5,883
California Coastal National Monument,California.29,Unnamed: 2274,BLM.9,Enlarged.77,3/11/14,2014.1,B. H. Obama,"1,665
California Coastal National Monument",California.30,Unnamed: 2282,BLM.10,Enlarged.78,1/12/17,2017,B. H. Obama.1,"6,230
Grand Canyon-Parashant National Monument",Arizona.46,Unnamed: 2290,BLM.11,Established.105,1/11/00.3,2000.5,W. Clinton.6,"1,014,000
Part of Sequoia National Forest",California.31,Giant Sequoia National Monument,USFS.7,Established.106,4/15/00,2000.6,W. Clinton.7,"327,769
Canyon of the Ancients National Monument",Colorado.19,Unnamed: 2306,BLM.12,Established.107,6/9/00,2000.7,W. Clinton.8,"164,000
Cascade-Siskiyou National Monument",Oregon.3,Unnamed: 2314,BLM.13,Established (BLM).1,6/9/00.1,2000.8,W. Clinton.9,"52,000
Cascade-Siskiyou National Monument",Oregon.4,Unnamed: 2322,BLM.14,Enlarged.79,1/12/17.1,2017.1,B. H. Obama.2,"48,000
Hanford Reach National Monument",Washington.5,Unnamed: 2330,FWS.3,Established.108,6/9/00.2,2000.9,W. Clinton.10,"195,000
Ironwood Forest National Monument",Arizona.47,Unnamed: 2338,BLM.15,Established.109,6/9/00.3,2000.10,W. Clinton.11,"128,917
President Lincoln and Soldier's Home National Monument","Washington, DC",Unnamed: 2346,NPS.246,Established.110,7/7/00,2000.11,W. Clinton.12,2.3
Vermillion Cliffs National Monument,Arizona.48,Unnamed: 2354,BLM.16,Established.111,11/9/00.1,2000.12,W. Clinton.13,"293,000
Carrizo Plain National Monument",California.32,Unnamed: 2362,BLM.17,Established.112,1/17/01.1,2001.1,W. Clinton.14,"204,107
Kasha-Katuwe Tent Rocks National Monument",New Mexico.29,Unnamed: 2370,BLM.18,Established.113,1/17/01.2,2001.2,W. Clinton.15,"4,148
Minidoka National Historic Site",Idaho.6,Minidoka Internment National Monument,NPS.247,Established.114,1/17/01.3,2001.3,W. Clinton.16,72.75
Minidoka National Historic Site,Idaho.7,Minidoka Internment National Monument.1,NPS.248,Redesignated NHS.2,5/8/08,2008,G.W. Bush,
Pompeys Pillar National Monument,Montana.6,Unnamed: 2394,BLM.19,Established.115,1/17/01.4,2001.4,W. Clinton.17,51
Sonoran Desert National Monument,Arizona.49,Unnamed: 2402,BLM.20,Established.116,1/17/01.5,2001.5,W. Clinton.18,"486,149
Upper Missouri River Breaks National Monument",Montana.7,Unnamed: 2410,BLM.21,Established.117,1/17/01.6,2001.6,W. Clinton.19,"377,346
Virgin Islands Coral Reef National Monument",Virgin Islands.4,Unnamed: 2418,NPS.249,Established.118,1/17/01.7,2001.7,W. Clinton.20,"12,708
Governors Island National Monument",New York.6,Unnamed: 2426,NPS.250,Established.119,1/19/01,2001.8,W. Clinton.21,20
Governors Island National Monument,New York.7,Unnamed: 2434,NPS.251,Reaffirmed,1/31/03,2003,G. W. Bush,22
African Burial Ground National Monument,New York.8,Unnamed: 2442,NPS.252,Established.120,2/27/06,2006,G. W. Bush.1,0.345
PapahÄnaumokuÄkea Marine National Monument,Hawaii,Northwestern Hawaiian Islands National Monument,"FWS, NOAA",Established (FWS and NOAA),6/15/06,2006.1,G. W. Bush.2,"140,000 sq. miles
PapahÄnaumokuÄkea Marine National Monument",Hawaii.1,Northwestern Hawaiian Islands National Monument.1,"FWS, NOAA.1",RedesignatedÂ PapahÄnaumokuÄkea MNM,2/28/07,2007,G.W. Bush.1,
PapahÄnaumokuÄkea Marine National Monument,Hawaii.2,Northwestern Hawaiian Islands National Monument.2,"FWS, NOAA.2",Enlarged.80,8/26/16,2016,B.H. Obama,"442,781 sq. miles
World War II Valor in the Pacific National Monument",Hawaii.3,Unnamed: 2474,"NPS, FWS",Established.121,12/5/08,2008.1,G. W. Bush.3,"6,310 sq. miles
Rose Atoll National Monument",American Samoa,Unnamed: 2482,NOAA,Established.122,1/6/09,2009.1,G. W. Bush.4,"13,451 sq. miles
Pacific Remote Islands National Monument",Hawaii.4,Unnamed: 2490,"FWS, NOAA.3",Established.123,1/6/09.1,2009.2,G. W. Bush.5,"86,888 sq. miles
Pacific Remote Islands National Monument",Hawaii.5,Unnamed: 2498,"FWS, NOAA.4",Enlarged.81,9/25/14,2014.2,B. H. Obama.3,"408,301 sq. miles
Mariana's Trench National Monument","Northern Mariana Islands, Guam",Unnamed: 2506,NOAA.1,Established.124,1/6/09.2,2009.3,G. W. Bush.6,"95,216 sq. miles
Fort Monroe National Monument",Virginia,Unnamed: 2514,NPS.253,Established.125,11/1/11,2011,B. H. Obama.4,325.21
Fort Ord National Monument,California.33,Unnamed: 2522,BLM.22,Established.126,4/20/12,2012,B. H. Obama.5,"14,651
Chimney Rock National Monument",Colorado.20,Unnamed: 2530,USFS.8,Established.127,9/21/12,2012.1,B. H. Obama.6,"4,726
Cesar E. Chavez National Monument",California.34,Unnamed: 2538,NPS.254,Established.128,10/8/12,2012.2,B. H. Obama.7,10.5
San Juan Islands National Monument,Washington.6,Unnamed: 2546,BLM.23,Established.129,3/25/13,2013.1,B. H. Obama.8,970
Rio Grande del Norte National Monument,New Mexico.30,Unnamed: 2554,BLM.24,Established.130,3/25/13.1,2013.2,B. H. Obama.9,"242,555
Harriet Tubman Underground Railroad National Historical Park",Maryland.2,Unnamed: 2562,"NPS, FWS.1",Established (NPS and FWS),3/25/13.2,2013.3,B. H. Obama.10,"11,750
Harriet Tubman Underground Railroad National Historical Park",Maryland.3,Unnamed: 2570,"NPS, FWS.2",Partially redesignated NHP (NPS),12/19/14.1,2014.3,113th Congress.1,480
First State National Historical Park,Delaware,Unnamed: 2578,NPS.255,Established.131,3/25/13.3,2013.4,B. H. Obama.11,"1,108
First State National Historical Park",Delaware.1,Unnamed: 2586,NPS.256,Redesignated NHP.3,12/19/14.2,2014.4,113th Congress.2,
Charles Young Buffalo Soldiers Monument,Ohio.2,Unnamed: 2594,NPS.257,Established.132,3/25/13.4,2013.5,B. H. Obama.12,59.65
Organ Mountains-Desert Peaks National Monument,New Mexico.31,Unnamed: 2602,BLM.25,Established.133,5/21/14,2014.5,B. H. Obama.13,"496,330
San Gabriel Mountains National Monument",California.35,Unnamed: 2610,USFS.9,Established.134,10/10/14,2014.6,B. H. Obama.14,"346,177
Honouliuli National Monument",Hawaii.6,Unnamed: 2618,NPS.258,Established.135,2/14/15,2015,B. H. Obama.15,123
Pullman National Monument,Illinois,Unnamed: 2626,NPS.259,Established.136,2/19/15,2015.1,B. H. Obama.16,0.2397
Browns Canyon National Monument,New Mexico.32,Unnamed: 2634,"BLM, USFS",Established.137,2/19/15.1,2015.2,B. H. Obama.17,"21,586
Berryessa Snow Mountain National Monument",California.36,Unnamed: 2642,USFS.10,Established.138,7/10/15,2015.3,B. H. Obama.18,"330,780
Waco Mammoth National Monument",Texas,Unnamed: 2650,NPS.260,Established.139,7/10/15.1,2015.4,B. H. Obama.19,7.11
Basin and Range National Monument,Nevada.2,Unnamed: 2658,BLM.26,Established.140,7/10/15.2,2015.5,B. H. Obama.20,"704,000
Mojave Trails National Monument",California.37,Unnamed: 2666,BLM.27,Established.141,2/12/16,2016.1,B. H. Obama.21,"1,600,000
Sand to Snow National Monument",California.38,Unnamed: 2674,USFS.11,Established.142,2/12/16.1,2016.2,B. H. Obama.22,"154,000
Castle Mountains National Monument",California.39,Unnamed: 2682,NPS.261,Established.143,2/12/16.2,2016.3,B. H. Obama.23,"20,920
Belmont-Paul Women's Equality National Monument","Washington, DC.1",Unnamed: 2690,NPS.262,Established.144,4/12/16,2016.4,B. H. Obama.24,0.34
Stonewall National Monument,New York.9,Unnamed: 2698,NPS.263,Established.145,6/24/16,2016.5,B. H. Obama.25,0.12
Katahdin Woods and Waters National Monument,Maine.3,Unnamed: 2706,NPS.264,Established.146,8/24/16,2016.6,B. H. Obama.26,"87,563
Northeast Canyons and Seamounts Marine National Monument",Massachusetts,Unnamed: 2714,"NOAA, FWS",Established.147,9/15/16,2016.7,B.H. Obama.1,"4,913 square miles
Bears Ears National Monument",Utah.27,Unnamed: 2722,"BLM, USFS.1",Established.148,12/28/16,2016.8,B. H. Obama.27,"1,350,000
Gold Butte National Monument",Nevada.3,Unnamed: 2730,BLM.28,Established.149,12/28/16.1,2016.9,B. H. Obama.28,"300,000
Birmingham Civil Rights National Monument",Alabama.1,Unnamed: 2738,NPS.265,Established.150,1/12/17.2,2017.2,B. H. Obama.29,0.88
Freedom Riders National Monument,Alabama.2,Unnamed: 2746,NPS.266,Established.151,1/12/17.3,2017.3,B. H. Obama.30,5.96
Reconstruction Era National Monument,South Carolina.2,Unnamed: 2754,NPS.267,Established.152,1/12/17.4,2017.4,B. H. Obama.31,15.56
